kegg	aracyc	name	source	gene_count	genes
	aracyc:ALACAT2-PWY	L-alanine degradation II (to D-lactate)	AraCyc	8	AT1G17290,AT1G17300,AT1G23310,AT1G70560,AT1G70580,AT1G72330,AT2G45630,AT3G03910
	aracyc:ALANINE-DEG3-PWY	L-alanine degradation III	AraCyc	6	AT1G17290,AT1G17300,AT1G23310,AT1G70560,AT1G70580,AT1G72330
	aracyc:ALANINE-SYN2-PWY	L-alanine biosynthesis II	AraCyc	6	AT1G17290,AT1G17300,AT1G23310,AT1G70560,AT1G70580,AT1G72330
	aracyc:ARG-PRO-PWY	L-arginine degradation VI (arginase 2 pathway)	AraCyc	4	AT4G08870,AT4G08900,AT5G14800,AT5G46180
	aracyc:ARGASEDEG-PWY	L-arginine degradation I (arginase pathway)	AraCyc	4	AT4G08870,AT4G08900,AT5G46180,AT5G62530
	aracyc:ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)	AraCyc	2	AT2G16500,AT4G34710
	aracyc:ARGININE-SYN4-PWY	L-ornithine biosynthesis II	AraCyc	3	AT2G39800,AT3G55610,AT5G46180
	aracyc:ARGSPECAT-PWY	spermine biosynthesis	AraCyc	6	AT3G17717,AT3G25570,AT5G15950,AT5G18930,AT5G19530,AT5G53120
	aracyc:ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	AraCyc	13	AT1G60000,AT1G75330,AT1G80600,AT2G19940,AT2G22905,AT2G22910,AT2G37500,AT3G57560,AT4G17830,AT4G24830,AT4G37670,AT5G10920,AT5G67430
	aracyc:ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	AraCyc	13	AT1G48470,AT1G60000,AT1G75330,AT1G80600,AT2G19940,AT2G22905,AT2G22910,AT2G37500,AT3G57560,AT4G24830,AT4G37670,AT5G10920,AT5G67430
	aracyc:ARO-PWY	chorismate biosynthesis I	AraCyc	10	AT1G22410,AT1G48850,AT1G48860,AT2G21940,AT2G45300,AT3G06350,AT4G33510,AT4G39540,AT4G39980,AT5G66120
	aracyc:ASPARAGINE-BIOSYNTHESIS	L-asparagine biosynthesis I	AraCyc	4	AT2G03667,AT3G47340,AT5G10240,AT5G65010
	aracyc:ASPARAGINE-DEG1-PWY	L-asparagine degradation I	AraCyc	5	AT3G16150,AT4G00590,AT5G08100,AT5G22300,AT5G60540
	aracyc:ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)	AraCyc	15	AT1G62800,AT1G62960,AT1G70560,AT2G22250,AT2G30970,AT3G16150,AT4G00590,AT4G31990,AT5G08100,AT5G11520,AT5G19550,AT5G22300,AT5G51690,AT5G60540,AT5G61540
	aracyc:ASPARTATE-DEG1-PWY	L-aspartate degradation I	AraCyc	9	AT1G62800,AT1G62960,AT1G70560,AT2G22250,AT2G30970,AT4G31990,AT5G11520,AT5G19550,AT5G51690
	aracyc:ASPARTATESYN-PWY	L-aspartate biosynthesis	AraCyc	9	AT1G62800,AT1G62960,AT1G70560,AT2G22250,AT2G30970,AT4G31990,AT5G11520,AT5G19550,AT5G51690
	aracyc:ASPASN-ARA-PWY	superpathway of aspartate and asparagine biosynthesis	AraCyc	18	AT1G62800,AT1G62960,AT1G70560,AT2G03667,AT2G22250,AT2G30970,AT3G16150,AT3G47340,AT4G00590,AT4G31990,AT5G08100,AT5G10240,AT5G11520,AT5G19550,AT5G22300,AT5G51690,AT5G60540,AT5G65010
	aracyc:ASPSYNII-PWY	cyanide detoxification I	AraCyc	4	AT3G04940,AT3G61440,AT5G22300,AT5G28020
	aracyc:BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched chain amino acid biosynthesis	AraCyc	21	AT1G10060,AT1G10070,AT1G31180,AT1G50090,AT1G50110,AT1G68490,AT1G70560,AT1G80555,AT1G80560,AT2G43090,AT2G43100,AT3G05190,AT3G19710,AT3G23940,AT3G48560,AT3G49680,AT3G58610,AT3G58990,AT5G14200,AT5G27410,AT5G65780
	aracyc:BSUBPOLYAMSYN-PWY	spermidine biosynthesis I	AraCyc	7	AT1G23820,AT1G70310,AT3G17717,AT3G25570,AT5G15950,AT5G18930,AT5G53120
	aracyc:CALVIN-PWY	Calvin-Benson-Bassham cycle	AraCyc	35	AT1G08940,AT1G43670,AT1G56190,AT1G63290,AT1G67090,AT1G71100,AT1G79550,AT2G01140,AT2G01290,AT2G07732,AT2G21170,AT2G21330,AT2G36460,AT2G45290,AT3G01850,AT3G04790,AT3G04880,AT3G05170,AT3G12780,AT3G52930,AT3G54050,AT3G55440,AT3G55800,AT3G60750,AT4G26520,AT4G26530,AT4G38970,AT5G03690,AT5G38410,AT5G38420,AT5G38430,AT5G44520,AT5G61410,AT5G64380,ATMG00280
	aracyc:CAMALEXIN-SYN	camalexin biosynthesis	AraCyc	31	AT1G13080,AT1G13090,AT1G13110,AT1G58265,AT1G69820,AT2G23960,AT2G23970,AT2G30770,AT3G26150,AT3G26160,AT3G26170,AT3G26180,AT3G26190,AT3G26200,AT3G26210,AT3G26220,AT3G26230,AT3G26280,AT3G26830,AT3G44250,AT3G53280,AT3G53290,AT4G13290,AT4G20235,AT4G29210,AT4G30530,AT4G30540,AT4G30550,AT4G39640,AT4G39650,AT5G35715
	aracyc:CHLOROPHYLL-SYN	3,8-divinyl-chlorophyllide a biosynthesis I (aerobic, light-dependent)	AraCyc	10	AT1G03475,AT2G40490,AT3G14930,AT3G56940,AT4G01690,AT4G03205,AT4G25080,AT5G14220,AT5G45930,AT5G58250
	aracyc:CITRULBIO-PWY	L-citrulline biosynthesis	AraCyc	43	AT1G24807,AT1G24909,AT1G25083,AT1G25155,AT1G25220,AT1G30820,AT1G48520,AT1G63660,AT1G70570,AT1G75330,AT2G03667,AT2G28880,AT2G29690,AT2G34890,AT2G38210,AT2G39800,AT2G41220,AT3G12670,AT3G16050,AT3G25660,AT3G30775,AT3G47340,AT3G55610,AT3G55870,AT4G02120,AT4G05400,AT4G08870,AT4G08900,AT4G20320,AT4G26900,AT4G32915,AT4G34880,AT5G01410,AT5G04140,AT5G05730,AT5G07360,AT5G10240,AT5G38710,AT5G46180,AT5G53460,AT5G57890,AT5G60540,AT5G65010
	aracyc:CITRULLINE-DEG-PWY	L-citrulline degradation	AraCyc	1	AT1G75330
	aracyc:COA-PWY	coenzyme A biosynthesis I (bacteria)	AraCyc	6	AT1G12350,AT1G48605,AT2G18250,AT2G27490,AT3G18030,AT5G02080
	aracyc:COMPLETE-ARO-ARA-PWY	superpathway of phenylalanine, tyrosine and tryptophan biosynthesis	AraCyc	32	AT1G07780,AT1G08250,AT1G11790,AT1G24807,AT1G24909,AT1G25083,AT1G25155,AT1G25220,AT1G29410,AT1G69370,AT1G70570,AT2G04400,AT2G22250,AT2G27820,AT2G29690,AT3G07630,AT3G29200,AT3G44720,AT3G54640,AT3G55870,AT4G02610,AT4G27070,AT5G05590,AT5G05730,AT5G10870,AT5G17990,AT5G22630,AT5G28237,AT5G34930,AT5G48220,AT5G54810,AT5G57890
	aracyc:CYANCAT-PWY	cyanate degradation	AraCyc	16	AT1G08065,AT1G08080,AT1G19580,AT1G23730,AT1G47260,AT1G58180,AT1G70410,AT2G28210,AT3G01500,AT3G52720,AT4G20990,AT4G21000,AT4G33580,AT5G04180,AT5G14740,AT5G56330
	aracyc:CYSTSYN-PWY	L-cysteine biosynthesis I	AraCyc	13	AT1G55880,AT1G55920,AT2G17640,AT3G03630,AT3G04940,AT3G13110,AT3G22460,AT3G52750,AT3G61440,AT4G35640,AT5G28020,AT5G28030,AT5G56760
	aracyc:DETOX1-PWY	superoxide radicals degradation	AraCyc	11	AT1G08830,AT1G47980,AT2G28190,AT3G10920,AT3G56350,AT3G62730,AT4G00651,AT4G25100,AT5G18100,AT5G23310,AT5G51100
	aracyc:DETOX1-PWY-1	reactive oxygen species degradation	AraCyc	20	AT1G08830,AT1G21864,AT1G47980,AT1G63460,AT2G28190,AT2G30860,AT2G31570,AT2G43350,AT2G48150,AT3G10920,AT3G56350,AT3G62730,AT3G63080,AT4G00651,AT4G11600,AT4G25100,AT4G31870,AT5G18100,AT5G23310,AT5G51100
	aracyc:DTDPRHAMSYN-PWY	dTDP-beta-L-rhamnose biosynthesis	AraCyc	7	AT1G23190,AT1G63000,AT1G70730,AT1G70820,AT4G00560,AT5G17530,AT5G51820
