gene	go_count	go_terms
AT1G01010	6	GO:0000976,GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0016020
AT1G01020	8	GO:0003674,GO:0005739,GO:0005783,GO:0005789,GO:0006665,GO:0009507,GO:0016125,GO:0032366
AT1G01030	9	GO:0003677,GO:0003700,GO:0005515,GO:0005634,GO:0006355,GO:0009908,GO:0048366,GO:0048480,GO:1901371
AT1G01040	25	GO:0000911,GO:0003677,GO:0003723,GO:0003725,GO:0004525,GO:0005515,GO:0005524,GO:0005634,GO:0005737,GO:0006364,GO:0006396,GO:0009616,GO:0009880,GO:0009908,GO:0010228,GO:0010267,GO:0010445,GO:0010599,GO:0016787,GO:0016891,GO:0031053,GO:0035196,GO:0035279,GO:0048317,GO:2000034
AT1G01050	11	GO:0000287,GO:0004427,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0005985,GO:0006796,GO:0010581,GO:0019915,GO:0042546
AT1G01060	11	GO:0000976,GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0007623,GO:0009409,GO:0010468,GO:0042752,GO:0042754,GO:0048574
AT1G01070	8	GO:0005739,GO:0005886,GO:0006868,GO:0015186,GO:0016020,GO:0022857,GO:0048316,GO:0055085
AT1G01080	8	GO:0003676,GO:0003723,GO:0003729,GO:0005634,GO:0009507,GO:0009536,GO:0009570,GO:0009941
AT1G01090	9	GO:0004739,GO:0005739,GO:0005829,GO:0006086,GO:0009507,GO:0009536,GO:0009570,GO:0009941,GO:0016624
AT1G01100	8	GO:0003735,GO:0005654,GO:0005737,GO:0005829,GO:0005840,GO:0006414,GO:0022626,GO:0042742
AT1G01110	5	GO:0003674,GO:0005634,GO:0005856,GO:0005886,GO:0016604
AT1G01120	18	GO:0000038,GO:0005515,GO:0005737,GO:0005783,GO:0005789,GO:0006633,GO:0009409,GO:0009416,GO:0009922,GO:0010025,GO:0016020,GO:0016746,GO:0016747,GO:0022626,GO:0030497,GO:0042761,GO:0070417,GO:0160062
AT1G01130	2	GO:0003674,GO:0005634
AT1G01140	15	GO:0004672,GO:0004674,GO:0005515,GO:0005524,GO:0005634,GO:0005737,GO:0007165,GO:0009409,GO:0009611,GO:0009651,GO:0010555,GO:0043266,GO:0051365,GO:0055075,GO:0106310
AT1G01150	4	GO:0003674,GO:0005575,GO:0005634,GO:0008150
AT1G01160	7	GO:0003713,GO:0005515,GO:0005634,GO:0040029,GO:0045787,GO:0045893,GO:0048366
AT1G01170	4	GO:0003674,GO:0005576,GO:0005739,GO:0008150
AT1G01180	1	GO:0005575
AT1G01184	4	GO:0003674,GO:0005575,GO:1902895,GO:2000280
AT1G01190	7	GO:0004497,GO:0005506,GO:0005575,GO:0009791,GO:0016705,GO:0020037,GO:0048608
AT1G01200	9	GO:0003924,GO:0005525,GO:0005576,GO:0005634,GO:0005768,GO:0005794,GO:0009504,GO:0010008,GO:0042546
AT1G01210	7	GO:0000428,GO:0003676,GO:0003899,GO:0005634,GO:0006351,GO:0006355,GO:0008270
AT1G01220	7	GO:0005524,GO:0005737,GO:0016772,GO:0042350,GO:0042352,GO:0047341,GO:0050201
AT1G01225	2	GO:0005515,GO:0005634
AT1G01230	11	GO:0005515,GO:0005739,GO:0005783,GO:0005789,GO:0006979,GO:0010150,GO:0016020,GO:0030148,GO:0034976,GO:0042742,GO:0090156
AT1G01240	2	GO:0003674,GO:0005739
AT1G01250	4	GO:0003677,GO:0003700,GO:0005634,GO:0006355
AT1G01260	9	GO:0000976,GO:0003700,GO:0005515,GO:0005634,GO:0005737,GO:0006355,GO:0010468,GO:0010629,GO:0046983
AT1G01280	15	GO:0004497,GO:0005506,GO:0005575,GO:0006629,GO:0009555,GO:0010208,GO:0010584,GO:0016020,GO:0016705,GO:0016709,GO:0020037,GO:0051791,GO:0051792,GO:0052722,GO:0080110
AT1G01290	5	GO:0005739,GO:0005759,GO:0006777,GO:0009507,GO:0061799
AT1G01300	4	GO:0004190,GO:0005576,GO:0006508,GO:0009505
AT1G01305	3	GO:0003674,GO:0005739,GO:0008150
AT1G01310	2	GO:0003674,GO:0005576
AT1G01320	6	GO:0003729,GO:0005576,GO:0005634,GO:0005829,GO:0010906,GO:0019750
AT1G01335	6	GO:0003674,GO:0005634,GO:0005737,GO:0010930,GO:0016020,GO:0048364
AT1G01340	10	GO:0005216,GO:0005739,GO:0005886,GO:0006811,GO:0009617,GO:0016020,GO:0034220,GO:0051592,GO:0055085,GO:0070588
AT1G01350	3	GO:0003674,GO:0005634,GO:0046872
AT1G01355	5	GO:0004540,GO:0005634,GO:0005777,GO:0009507,GO:0010468
AT1G01360	9	GO:0004864,GO:0005515,GO:0005634,GO:0005737,GO:0005886,GO:0009738,GO:0010427,GO:0038023,GO:0042803
AT1G01370	13	GO:0000775,GO:0000785,GO:0000786,GO:0003677,GO:0005515,GO:0005634,GO:0009567,GO:0030527,GO:0034080,GO:0046982,GO:0051301,GO:0051307,GO:0051321
AT1G01380	8	GO:0003700,GO:0005634,GO:0009653,GO:0048731,GO:0080147,GO:0090558,GO:0090627,GO:1900033
AT1G01390	3	GO:0005783,GO:0008194,GO:0009507
AT1G01400	3	GO:0003674,GO:0005634,GO:0008150
AT1G01410	2	GO:0003723,GO:0005737
AT1G01420	4	GO:0005783,GO:0008194,GO:0009507,GO:0080043
AT1G01430	3	GO:0016020,GO:0016413,GO:0016740
AT1G01440	3	GO:0003674,GO:0005634,GO:1900150
AT1G01450	5	GO:0004672,GO:0004712,GO:0005524,GO:0005737,GO:0098542
AT1G01453	4	GO:0003674,GO:0005575,GO:0016020,GO:0098542
AT1G01460	4	GO:0005634,GO:0016308,GO:0046488,GO:0052742
AT1G01470	7	GO:0003674,GO:0005829,GO:0006950,GO:0009269,GO:0009611,GO:0009644,GO:0050832
AT1G01480	7	GO:0003824,GO:0005515,GO:0005737,GO:0009414,GO:0009693,GO:0016847,GO:0030170
AT1G01490	3	GO:0005634,GO:0009507,GO:0046872
AT1G01500	2	GO:0005575,GO:0016020
AT1G01510	32	GO:0000226,GO:0003714,GO:0005515,GO:0005737,GO:0005794,GO:0005802,GO:0005829,GO:0005856,GO:0005874,GO:0006970,GO:0007097,GO:0008360,GO:0009507,GO:0009651,GO:0009965,GO:0010091,GO:0010482,GO:0010494,GO:0016616,GO:0019900,GO:0031129,GO:0034063,GO:0042802,GO:0042803,GO:0042814,GO:0045604,GO:0045892,GO:0048444,GO:0048530,GO:0048826,GO:0051287,GO:2000039
AT1G01520	5	GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0010468
AT1G01530	7	GO:0000977,GO:0003677,GO:0003700,GO:0005634,GO:0009911,GO:0045944,GO:0046983
AT1G01540	8	GO:0004672,GO:0004674,GO:0005524,GO:0005886,GO:0009507,GO:0016020,GO:0046777,GO:0106310
AT1G01550	6	GO:0003674,GO:0005634,GO:0009507,GO:0009793,GO:0048364,GO:0048367
AT1G01560	11	GO:0000165,GO:0004672,GO:0004707,GO:0005515,GO:0005524,GO:0005634,GO:0005829,GO:0005886,GO:0007165,GO:0009737,GO:0106310
AT1G01570	2	GO:0005783,GO:0005794
AT1G01580	8	GO:0000293,GO:0005634,GO:0005886,GO:0009617,GO:0016491,GO:0033214,GO:0060586,GO:0140618
AT1G01590	5	GO:0000293,GO:0005886,GO:0016020,GO:0016491,GO:0140618
AT1G01600	10	GO:0004497,GO:0005506,GO:0005739,GO:0006629,GO:0006631,GO:0016020,GO:0016705,GO:0016712,GO:0018685,GO:0020037
AT1G01610	6	GO:0009507,GO:0010143,GO:0016020,GO:0016746,GO:0016791,GO:0090447
AT1G01620	9	GO:0005515,GO:0005576,GO:0005886,GO:0006833,GO:0009414,GO:0015250,GO:0015267,GO:0016020,GO:0055085
AT1G01630	2	GO:0003674,GO:0005634
AT1G01640	3	GO:0005515,GO:0005737,GO:0016567
AT1G01650	5	GO:0005768,GO:0005886,GO:0010008,GO:0016020,GO:0042500
AT1G01660	4	GO:0004842,GO:0005737,GO:0016567,GO:0061630
AT1G01670	4	GO:0004842,GO:0005634,GO:0016567,GO:0061630
AT1G01680	4	GO:0004842,GO:0005737,GO:0016567,GO:0061630
AT1G01690	9	GO:0003674,GO:0005515,GO:0005634,GO:0009553,GO:0009555,GO:0042138,GO:0048236,GO:0051026,GO:0070192
AT1G01695	3	GO:0003674,GO:0005634,GO:0008150
AT1G01700	2	GO:0005085,GO:0005634
AT1G01710	8	GO:0005777,GO:0005782,GO:0006631,GO:0006637,GO:0047617,GO:0051289,GO:0052815,GO:0052816
AT1G01715	3	GO:0000776,GO:0003674,GO:0005634
AT1G01720	10	GO:0000976,GO:0003677,GO:0003700,GO:0005634,GO:0006355,GO:0009611,GO:0009788,GO:0019900,GO:0043565,GO:0071456
AT1G01725	3	GO:0003674,GO:0005575,GO:0008150
AT1G01730	3	GO:0003674,GO:0005634,GO:0008150
AT1G01740	8	GO:0004672,GO:0004674,GO:0005524,GO:0005576,GO:0005634,GO:0005886,GO:0009742,GO:0106310
AT1G01750	6	GO:0003779,GO:0005737,GO:0005856,GO:0007015,GO:0015629,GO:0030042
AT1G01760	8	GO:0003723,GO:0004000,GO:0005634,GO:0006396,GO:0006400,GO:0008251,GO:0042803,GO:0043829
AT1G01770	2	GO:0003674,GO:0005634
AT1G01780	6	GO:0000976,GO:0005737,GO:0005856,GO:0015629,GO:0051015,GO:0051017
AT1G01790	31	GO:0005576,GO:0006812,GO:0006813,GO:0006885,GO:0008324,GO:0009507,GO:0009646,GO:0009658,GO:0009706,GO:0009737,GO:0009744,GO:0009941,GO:0010109,GO:0015078,GO:0015079,GO:0015297,GO:0015386,GO:0016020,GO:0019722,GO:0031969,GO:0042794,GO:0055085,GO:0071805,GO:0080022,GO:0140899,GO:1900069,GO:1900140,GO:1902600,GO:2000070,GO:2000377,GO:2001057
AT1G01800	6	GO:0003674,GO:0005737,GO:0005829,GO:0008106,GO:0009505,GO:0009507
AT1G01810	3	GO:0003674,GO:0005634,GO:0008150
AT1G01820	9	GO:0005515,GO:0005576,GO:0005777,GO:0005778,GO:0007031,GO:0009506,GO:0016559,GO:0042802,GO:0044375
AT1G01830	3	GO:0003674,GO:0005575,GO:0008150
AT1G01840	2	GO:0003674,GO:0009507
AT1G01860	7	GO:0000154,GO:0000179,GO:0005739,GO:0006364,GO:0009409,GO:0009507,GO:0016422
AT1G01880	8	GO:0003677,GO:0003824,GO:0004518,GO:0005634,GO:0008821,GO:0009650,GO:0017108,GO:0048256
AT1G01900	6	GO:0004252,GO:0005576,GO:0006508,GO:0008236,GO:0009505,GO:0031012
AT1G01910	11	GO:0005515,GO:0005524,GO:0005576,GO:0005737,GO:0005783,GO:0005829,GO:0009507,GO:0016887,GO:0043529,GO:0045048,GO:0048767
AT1G01920	2	GO:0005634,GO:0009507
AT1G01930	2	GO:0003674,GO:0005737
AT1G01940	11	GO:0000398,GO:0003755,GO:0005515,GO:0005634,GO:0005730,GO:0005737,GO:0006457,GO:0010494,GO:0030620,GO:0030623,GO:0034605
AT1G01950	9	GO:0003777,GO:0005524,GO:0005634,GO:0005737,GO:0005856,GO:0007018,GO:0008017,GO:0009507,GO:0048364
AT1G01960	8	GO:0005085,GO:0005634,GO:0005829,GO:0009561,GO:0016020,GO:0016192,GO:0032012,GO:0032588
AT1G01970	4	GO:0003674,GO:0005739,GO:0008150,GO:0009507
AT1G01980	8	GO:0005794,GO:0005886,GO:0009505,GO:0009507,GO:0016491,GO:0016899,GO:0050660,GO:0071949
AT1G01990	2	GO:0003674,GO:0005575
AT1G02000	3	GO:0005575,GO:0032580,GO:0050378
AT1G02010	2	GO:0005634,GO:0016192
AT1G02020	4	GO:0005634,GO:0005739,GO:0009507,GO:0016491
AT1G02030	3	GO:0003700,GO:0005634,GO:0006355
AT1G02050	10	GO:0005515,GO:0005737,GO:0005783,GO:0009813,GO:0010584,GO:0016746,GO:0016747,GO:0030639,GO:0080110,GO:0090439
AT1G02060	2	GO:0005739,GO:0009507
AT1G02065	7	GO:0003677,GO:0005634,GO:0005737,GO:0009554,GO:0009556,GO:0045893,GO:0048653
